"region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
1001,55221,76,19,1,3,24974,726,37.7
1003,195121,83,9,1,4,27317,698,42.2
1005,26932,46,47,0,5,16824,371,38.8
1007,22604,75,21,0,2,18431,416,38.9
1009,57710,88,2,0,9,20532,402,40.7
1011,10678,22,71,0,4,17580,303,39.3
1013,20354,53,44,0,1,18390,346,40.5
1015,116648,73,20,1,3,21374,443,39.1
1017,34079,57,40,1,0,21071,414,43
1019,26008,92,5,0,2,21811,383,45.4
1021,43819,81,10,0,8,21399,448,38.8
1023,13395,56,43,0,0,20755,312,44.9
1025,25070,53,45,0,0,20064,362,41.1
1027,13537,80,14,0,3,18905,292,43.8
1029,15002,93,3,0,2,20151,367,41.3
1031,50884,72,17,1,6,24936,495,38.8
1033,54444,79,16,0,2,22546,418,42.2
1035,12865,51,45,0,2,15968,328,43.7
1037,11027,65,31,0,2,17519,336,45.1
1039,37886,83,13,0,2,20977,362,42.6
1041,13938,70,24,2,2,20585,312,41.3
1043,80965,92,1,1,4,20881,423,40.5
1045,49866,70,19,1,6,22566,449,36.8
1047,42154,29,69,0,0,17808,342,38.7
1049,71068,81,2,0,14,18411,371,39.3
1051,80763,74,21,1,3,24381,550,37.9
1053,37935,61,33,0,1,17045,376,40.3
1055,103766,79,15,1,4,20500,427,40.8
1057,16896,85,12,0,1,19545,299,43.2
1059,31634,79,4,0,16,18595,342,38.8
1061,26815,84,9,1,4,20224,369,42.2
1063,8697,18,81,0,1,13611,178,42.4
1065,15256,40,58,0,1,18877,270,40.2
1067,17252,68,28,0,2,22931,381,43
1069,103534,68,26,1,3,23925,504,39
1071,52860,89,3,0,3,20066,372,42.2
1073,659026,51,42,2,4,27240,605,37.4
1075,14133,86,11,0,1,20130,274,43.7
1077,92737,85,10,1,2,24215,419,41.1
1079,33586,77,11,0,2,21369,366,41.7
1081,150982,68,23,3,4,24356,616,30.3
1083,88805,77,13,1,6,25569,436,39
1085,10742,25,74,0,0,18429,299,39.5
1087,20018,16,81,0,2,17374,372,37.5
1089,346438,66,24,2,5,32131,605,37.8
1091,20306,46,51,0,2,21471,325,42.2
1093,30387,92,4,0,2,20042,291,44.1
1095,94318,83,2,0,13,21363,428,38.8
1097,414251,58,35,2,3,22953,598,37
1099,22217,55,42,0,1,15863,356,41.1
1101,228138,37,56,2,3,25138,611,35.2
1103,119786,77,12,1,8,24449,448,39.5
1105,10038,30,68,0,1,14804,304,36.3
1107,19856,55,42,0,2,17957,274,42.4
1109,33155,57,38,2,1,19415,442,31.3
1111,22648,75,20,0,3,19363,347,42.8
1113,58302,50,42,1,5,19882,545,34.8
1115,85864,86,9,1,2,24168,525,39.8
1117,203530,79,12,2,6,33494,767,37.9
1119,13341,25,72,2,0,12887,325,36.7
1121,81437,64,32,0,2,19598,371,40.9
1123,41153,69,27,0,2,21177,380,42.8
1125,200458,64,31,1,3,23124,602,31.9
1127,65923,90,6,0,2,20166,400,42.4
1129,16997,65,25,0,1,19743,328,40.9
1131,11235,27,72,0,1,14170,256,40.2
1133,24130,94,1,0,3,18808,348,43.9
2013,3304,15,9,31,12,28608,743,42.4
2016,5684,28,5,37,11,31754,1053,36.8
2020,299107,60,6,9,9,36920,1110,32.5
2050,17776,11,1,1,2,17746,964,26.7
2060,970,53,1,1,7,38267,831,39.7
2068,2060,85,1,3,3,35315,733,35.9
2070,4979,18,0,1,3,22257,804,29.7
2090,99705,72,4,3,7,33244,1106,30.4
2100,2560,80,0,3,2,33902,743,45.5
2105,2128,49,2,3,2,30943,504,47.8
2110,32531,66,1,6,6,39979,1099,37
2122,57221,82,1,1,4,31537,793,40.5
2130,13699,65,0,7,5,32021,888,38.7
2150,13973,51,0,21,8,30657,930,32.4
2164,1474,21,1,3,2,23041,588,31.1
2170,96178,81,1,1,4,29913,928,34.6
2180,9854,17,1,1,2,19804,988,27.8
2185,9667,32,1,5,4,51085,868,33.9
2188,7732,12,0,1,2,21101,875,26.1
2195,3221,69,3,2,9,34884,758,40.4
2198,6376,46,0,1,3,25205,617,39.7
2220,8943,63,1,6,6,33890,877,38.9
2230,999,75,0,11,5,38696,925,43.7
2240,7029,77,1,1,5,30079,966,35.8
2261,9617,70,0,3,4,33293,861,36.6
2275,2387,68,0,3,1,30089,597,50.4
2282,643,39,1,7,3,33159,660,42.5
2290,5644,22,0,0,2,20698,402,35
4001,72124,19,1,0,6,13011,345,33.4
4003,129647,57,4,2,34,23506,642,40
4005,136701,55,1,2,14,24308,884,30.8
4007,53165,64,1,1,19,20583,591,48.6
